text,sentiment
"Dafa niaw trop",negative
"Dafa bon te soxor",negative
"Sama xol dafa jeex",negative
"Dafa soxor lool",negative
"Dafa tor sama xol",negative
"Li nga def dafa niaw",negative
"Dafa mer ba fees",negative
"Dafa ñaaw ci man",negative
"Dafa sonal",negative
"Dafa tass sama xol",negative
"Maa ngi bëgg li nga def, baax na lool",positive
"Ndax yaa baax de, jërëjëf",positive
"Bi ma nekkoon fi dafa am mbëggeel",positive
"Dafa neex lool",positive
"Sama xol bi content na",positive
"Yaa baax de",positive
"Dafa rafet lool",positive
"Jërëjëf wa",positive
"Maa ngi bëgg",positive
"Dafa am xol bu baax",positive
"Démb ma dem marché bi",neutral
"Maa ngi jàng wolof",neutral
"Suba teel laay jóg",neutral
"Maa ngi fi",neutral
"Dama dem ba kër ga",neutral
"Suba laay dem",neutral
"Maa ngi lekk",neutral
"Dama dem école",neutral
"Maa ngi xaar",neutral
"Fan nga dëkk",neutral
"Dafa am problème",negative
"Dama am njàqare",negative
"Dafa jaaxal ma",negative
"Dafa saf",negative
"Dama feebar",negative
"Dafa ñakk fayda",negative
"Dafa rey sama yaakaar",negative
"Dafa wóor",positive
"Dafa set",positive
"Maa ngi ci jamm",positive
"Dafa am doole",positive
"Dafa am xam-xam",positive
"Sama xol bi fees na ak mbëggeel",positive
"Dafa am jom",positive
"Dama nekk ci biti",neutral
"Ñaari fan yi",neutral
"Ci suba",neutral
"Dama dem togg",neutral
"Maa ngi naan attaaya",neutral
